codigo_nacional_farmaco_cd,codigo_descripcion,atc_farmaco_dispensado_cd,ddd_nomenclator_nm,ddd_por_envase,pvp_nomenclator_nm,precio_por_envase_nm
671932,PAROXETINA STADA 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,28,6.09,6.09
671934,PAROXETINA STADA 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,56,12.18,12.18
665700,ESCITALOPRAM ALTER 20MG 56 COMPRIMIDOS RECUBIERTOS CON PELICULA EFG,N06AB10,10,112,35.03,35.03
696650,ESCITALOPRAM TEVA 20MG/ML 15ML 1 FRASCO GOTAS ORALES SOLUCION EFG,N06AB10,10,30,9.4,9.4
802041,PARNATE 10MG 25 GRAGEAS,N06AF04,10,25,1.87,1.87
706146,DULOXETINA RATIOPHARM 30MG 7 CAPSULAS DUR GASTR (PVC/ACLAR/PVC/AL) EFG,N06AX21,60,3.5,3.34,3.34
706111,DULOXETINA TEVA 30MG 7 CAPSULAS DURAS GASTRORRE (PVC/ACLAR/PVC/AL) EFG,N06AX21,60,3.5,3.34,3.34
952507,FLUOXETINA DIASA 20MG 14 CAPSULAS EFG,N06AB03,20,14,2.5,2.5
654078,FLUOXETINA BENEL 20MG 56 CAPSULAS DURAS EFG,N06AB03,20,56,4.9,4.9
650889,FLUOXETINA KORHISPANA 20MG 28 CAPSULAS EFG,N06AB03,20,28,2.79,2.79
650860,CITALOPRAM FARMAPROJECTS 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,28,5.12,5.12
654036,CITALOPRAM GERMED 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,28,5.14,5.14
650638,DAPAROX 20MG 14 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB05,20,14,12.04,12.04
653349,SERTRALINA GENERICOS JUVENTUS 100MG 30 COMPRIMIDOS RECUB PELICULA EFG,N06AB06,50,60,11.66,11.66
653347,SERTRALINA GENERICOS JUVENTUS 50MG 30 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB06,50,30,5.84,5.84
991224,TOFRANIL PAMOATO 75MG 28 CAPSULAS,N06AA02,100,21,3.33,3.33
782391,LUDIOMIL 10MG 30 COMPRIMIDOS,N06AA21,100,3,2.19,2.19
617134,CITALOPRAM RANBAXY 30MG 500 COMPRIMIDOS RECUBIERT PELIC EFG,N06AB04,20,750,0,0
614875,PAROXETINA GEMINIS 20MG 500 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB05,20,500,0,0
605527,SERTRAMYLAN 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,0,0
624411,FLUOXETINA RUBIO 20MG 500 CAPSULAS DURAS EFG,N06AB03,20,500,0,0
624155,FLUOXETINA DEXTER 20MG 500 CAPSULAS EFG,N06AB03,20,500,0,0
640060,CITALOPRAM EDIGEN 30MG 500 COMPRIMIDOS RECUBIERT PELICUL EFG,N06AB04,20,750,0,0
660075,CITALOPRAM ARGENOL 30MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,84,0,0
704399,CITALOPRAM APOTEX 30MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,84,15.36,15.36
610881,LUSTRAGEN 50MG 500 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB06,50,500,0,0
706804,FLUOXETINA COMBIX 20MG 28 CAPSULAS DURAS EFG,N06AB03,20,28,2.5,2.5
757526,FLUOXETINA COMBIX 20MG 60 CAPSULAS DURAS EFG,N06AB03,20,60,5.25,5.25
656498,CITALOPRAM PHARMAGENUS 20MG 28 COMPRIMIDOS RECUB PELIC EFG,N06AB04,20,28,5.12,5.12
874610,SERTRALINA PHARMAGENUS 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,60,11.66,11.66
704795,"VENLAFAXINA AUROBINDO 37,5MG 30 CAPSULAS DURAS LIBERACION PROLONGADA",N06AX16,100,11.25,4.79,4.79
677649,VENLAFAXINA RETARD PHARMAGENUS 150MG 30 CAPSULAS DURAS LIBER PROL EFG,N06AX16,100,45,19.15,19.15
602962,VANDRAL RETARD 150MG 500 CAPSULAS,N06AX16,100,750,0,0
705275,DULOXETINA VIATRIS PHARM 30MG 7 CAPSULAS DURAS GASTRORRESISTENTES EFG,N06AX21,60,3.5,3.34,3.34
836569,TOFRANIL 10MG 60 COMPRIMIDOS RECUBIERTOS,N06AA02,100,6,1.87,1.87
653027,SEREGRA 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,56,10.24,10.24
653015,SEREGRA 30MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,42,7.68,7.68
653023,SEREGRA 30MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,84,15.36,15.36
884494,CITALOPRAM ALTER 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,56,10.24,10.24
885475,CITALOPRAM ALTER 30MG 56 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,84,15.36,15.36
687194,PAXTIBI 25MG 25 COMPRIMIDOS,N06AA10,75,8.33,2.12,2.12
656551,CITALOPRAM UXA 30MG 28 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB04,20,42,7.68,7.68
667998,RENEURON 20MG 28 SOBRES MONODOSIS,N06AB03,20,28,0,0
651030,SERTRALINA TEVAGEN 100MG 60 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,120,23.32,23.32
701997,SERTRALINA APOTEX 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA EFG,N06AB06,50,60,11.66,11.66
698635,ASERIN 100MG 30 COMPRIMIDOS RECUBIERTOS PELICULA (BLISTER PVC-AL) EFG,N06AB06,50,60,11.66,11.66
696456,ESCITALOPRAM MEIJI 10MG 56 COMPRIMIDOS BUCODISPERSABLES EFG,N06AB10,10,56,17.48,17.48
686402,DOBUPAL 50MG 30 COMPRIMIDOS,N06AX16,100,15,6.38,6.38
850792,FLUOXETINA ARISTO 20MG 60 COMPRIMIDOS DISPERSABLES EFG,N06AB03,20,60,5.25,5.25
682591,PRISDAL 20MG 28 COMPRIMIDOS RECUBIERTOS CON PELICULA,N06AB04,20,28,5.12,5.12
701916,ESCITALOPRAM FLAS CINFA 15MG 28 COMPRIMIDOS BUCODISPERSABLES EFG,N06AB10,10,42,13.11,13.11
664738,MIRTAZAPINA FLAS BLUEFISH 30MG 30 COMPRIMIDOS BUCODISPER EFG,N06AX11,30,30,17.05,17.05
692851,ESCITALOPRAM CINFA 20MG/ML 15ML 1 FRASCO GOTAS ORALES SOLUCION EFG,N06AB10,10,30,9.37,9.37
683805,MANERIX 300MG 30 COMPRIMIDOS RECUBIERTOS PELICULA,N06AG02,300,30,10.35,10.35
709684,DULOXETINA VIR 60MG 28 CAPSULAS DURAS GASTRORRESISTENTES EFG,N06AX21,60,28,26.73,26.73
654586,DAPAROX 20MG 28 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB05,20,28,6.09,6.09
654587,DAPAROX 20MG 56 COMPRIMIDOS RECUBIERTOS PELICULA,N06AB05,20,56,12.18,12.18
828277,SERTRALINA STADA 50MG 30 COMPRIMIDOS RECUBIERT PELICULA EFG,N06AB06,50,30,5.84,5.84
